Campeones,Fecha,Ubicacion,Reinado,Días
Buddy Rogers,25/4/1963,Washington DC,1,22
Bruno Sammartino,17/5/1963,Nueva York,1,2803
Ivan Koloff,18/1/1971,Nueva York,1,21
Pedro Morales,8/2/1971,Nueva York,1,1027
Stan Stasiak,1/12/1973,Filadelfia,1,9
Bruno Sammartino,10/12/1973,Nueva York,2,1237
Superstar Billy Graham,30/4/1977,Baltimore,1,296
Bob Backlund,20/2/1978,Nueva York,1,2135
Antonio Inoki,30/11/1979,Tokushima,,
Vacante,6/12/1979,Tokio,,
Bob Backlund,17/12/1979,Nueva York,,
Vacante,19/10/1981,,,
Bob Backlund,23/11/1981,Nueva York,,
The Iron Sheik,26/12/1983,Nueva York,1,28
Hulk Hogan,23/1/1984,Nueva York,1,1474
André the Giant,5/2/1988,Indianápolis,1,0
Ted DiBiase,5/2/1988,Indianápolis,,
Vacante,13/2/1988,Hershey,,
Randy Savage,27/3/1988,Atlantic City,1,371
Hulk Hogan,2/4/1989,Atlantic City,2,364
The Ultimate Warrior,1/4/1990,Toronto,1,293
Sgt Slaughter,19/1/1991,Miami,1,64
Hulk Hogan,24/3/1991,Los Ángeles,3,248
The Undertaker,27/11/1991,Detroit,1,6
Hulk Hogan,3/12/1991,San Antonio,4,1
Vacante,4/12/1991,New Haven,,
Ric Flair,19/1/1992,Albany,1,77
Randy Savage,5/4/1992,Indianápolis,2,149
Ric Flair,1/9/1992,Hershey,2,41
Bret Hart,12/10/1992,Saskatoon,1,174
Yokozuna,4/4/1993,Las Vegas,1,0
Hulk Hogan,4/4/1993,Las Vegas,5,70
Yokozuna,13/6/1993,Dayton,2,280
Bret Hart,20/3/1994,Nueva York,2,248
Bob Backlund,23/11/1994,San Antonio,2,3
Diesel,26/11/1994,Nueva York,1,358
Bret Hart,19/11/1995,Landover,3,133
Shawn Michaels,31/3/1996,Anaheim,1,231
Sycho Sid,17/11/1996,Nueva York,1,63
Shawn Michaels,19/1/1997,San Antonio,2,25
Vacante,13/2/1997,Lowell,,
Bret Hart,16/2/1997,Chattanooga,4,1
Sycho Sid,17/2/1997,Nashville,2,34
The Undertaker,23/3/1997,Rosemont,2,133
Bret Hart,3/8/1997,East Rutherford,5,98
Shawn Michaels,9/11/1997,Montreal,3,140
Steve Austin,29/3/1998,Boston,1,91
Kane,28/6/1998,Pittsburgh,1,1
Steve Austin,29/6/1998,Cleveland,2,90
Vacante,27/9/1998,Hamilton,,
The Rock,15/11/1998,San Luis,1,50
Mankind,4/1/1999,Worcester,1,20
The Rock,24/1/1999,Anaheim,2,7
Mankind,31/1/1999,Tucson,2,15
The Rock,15/2/1999,Birmingham,3,41
Steve Austin,28/3/1999,Filadelfia,3,56
The Undertaker,23/5/1999,Kansas City,3,36
Steve Austin,28/6/1999,Charlotte,4,55
Mankind,22/8/1999,Mineápolis,3,1
Triple H,23/8/1999,Ames,1,22
Mr McMahon,14/9/1999,Las Vegas,1,6
Vacante,20/9/1999,Houston,,
Triple H,26/9/1999,Charlotte,2,49
The Big Show,14/11/1999,Detroit,1,50
Triple H,3/1/2000,Miami,3,118
Chris Jericho,17/4/2000,State College,,
The Rock,30/4/2000,Washington DC,4,21
Triple H,21/5/2000,Louisville,4,35
The Rock,25/6/2000,Boston,5,119
Kurt Angle,22/10/2000,Albany,1,126
The Rock,25/2/2001,Las Vegas,6,35
Steve Austin,1/4/2001,Houston,5,175
Kurt Angle,23/9/2001,Pittsburgh,2,15
Steve Austin,8/10/2001,Indianápolis,6,62
Chris Jericho,9/12/2001,San Diego,1,98
Triple H,17/3/2002,Toronto,5,35
Hollywood Hulk Hogan,21/4/2002,Kansas City,6,28
The Undertaker,19/5/2002,Nashville,4,63
The Rock,21/7/2002,Detroit,7,35
Brock Lesnar,25/8/2002,Uniondale,1,84
The Big Show,17/11/2002,Nueva York,2,28
Kurt Angle,15/12/2002,Sunrise,3,105
Brock Lesnar,30/3/2003,Seattle,2,119
Kurt Angle,27/7/2003,Denver,4,51
Brock Lesnar,18/9/2003,Raleigh,3,150
Eddie Guerrero,15/2/2004,Daly City,1,133
John Bradshaw Layfield,27/6/2004,Norfolk,1,280
John Cena,3/4/2005,Los Ángeles,1,280
Edge,8/1/2006,Albany,1,21
John Cena,29/1/2006,Miami,2,133
Rob Van Dam,11/6/2006,Nueva York,1,22
Edge,3/7/2006,Filadelfia,2,76
John Cena,17/9/2006,Toronto,3,380
Vacante,2/10/2007,Dayton,,
Randy Orton,7/10/2007,Rosemont,1,0
Triple H,7/10/2007,Rosemont,6,0
Randy Orton,7/10/2007,Rosemont,2,203
Triple H,27/4/2008,Baltimore,7,210
Edge,23/11/2008,Boston,3,21
Jeff Hardy,14/12/2008,Búfalo,1,42
Edge,25/1/2009,Detroit,4,21
Triple H,15/2/2009,Seattle,8,70
Randy Orton,26/4/2009,Providence,3,42
Batista,7/6/2009,Nueva Orleans,1,2
Vacante,9/6/2009,,,
Randy Orton,15/6/2009,Charlotte,4,90
John Cena,13/9/2009,Montreal,4,21
Randy Orton,4/10/2009,Newark,5,21
John Cena,25/10/2009,Pittsburgh,5,49
Sheamus,13/12/2009,San Antonio,1,70
John Cena,21/2/2010,San Luis,6,0
Batista,21/2/2010,San Luis,2,35
John Cena,28/3/2010,Glendale,7,84
Sheamus,20/6/2010,Uniondale,2,91
Randy Orton,19/9/2010,Rosemont,6,64
The Miz,22/11/2010,Orlando,1,160
John Cena,1/5/2011,Tampa,8,77
CM Punk,17/7/2011,Rosemont,1,28
Vacante,18/7/2011,Green Bay,,
Rey Mysterio,25/7/2011,Hampton,1,0
John Cena,25/7/2011,Hampton,9,20
CM Punk,14/8/2011,Los Ángeles,,
Alberto Del Rio,14/8/2011,Los Ángeles,1,35
John Cena,18/9/2011,Búfalo,10,14
Alberto Del Rio,2/10/2011,Nueva Orleans,2,49
CM Punk,20/11/2011,Nueva York,2,434
The Rock,27/1/2013,Phoenix,8,70
John Cena,7/4/2013,East Rutherford,11,133
Daniel Bryan,18/8/2013,Los Ángeles,1,0
Randy Orton,18/8/2013,Los Ángeles,7,28
Daniel Bryan,15/9/2013,Detroit,2,1
Vacante,16/9/2013,Cleveland,,
Randy Orton,27/10/2013,Miami,8,161
Daniel Bryan,6/4/2014,Nueva Orleans,3,64
Vacante,9/6/2014,Mineápolis,,
John Cena,29/6/2014,Boston,12,49
Brock Lesnar,17/8/2014,Los Ángeles,4,224
Seth Rollins,29/3/2015,Santa Clara,1,221
Vacante,5/11/2015,,,
Roman Reigns,22/11/2015,Atlanta,1,0
Sheamus,22/11/2015,Atlanta,3,22
Roman Reigns,14/12/2015,Filadelfia,2,41
Triple H,24/1/2016,Orlando,9,70
Roman Reigns,3/4/2016,Arlington,3,77
Seth Rollins,19/6/2016,Las Vegas,2,0
Dean Ambrose,19/6/2016,Las Vegas,1,84
AJ Styles,11/9/2016,Richmond,1,140
John Cena,29/1/2017,San Antonio,13,14
Bray Wyatt,12/2/2017,Phoenix,1,49
Randy Orton,2/4/2017,Orlando,9,49
Jinder Mahal,21/5/2017,Rosemont,1,170
AJ Styles,7/11/2017,Mánchester,2,371
Daniel Bryan,13/11/2018,San Luis,4,145
Kofi Kingston,7/4/2019,East Rutherford,1,180
Brock Lesnar,4/10/2019,Los Ángeles,5,184
Drew McIntyre,5/4/2020,Orlando,1,203
Randy Orton,25/10/2020,Orlando,10,22
Drew McIntyre,16/11/2020,Orlando,2,97
The Miz,21/2/2021,San Petersburgo,2,8
Bobby Lashley,1/3/2021,San Petersburgo,1,196
Big E,13/9/2021,Boston,1,110
Brock Lesnar,1/1/2022,Atlanta,6,28
Bobby Lashley,29/1/2022,San Luis,2,21
Brock Lesnar,19/2/2022,Yeda,7,43
Roman Reigns,3/4/2022,Arlington,4,387
